,Company name Latin alphabet,"NACE Rev. 2, core code (4 digits)",Last avail. year,"Operating revenue (Turnover)
th USD Last avail. yr","Number of employees
Last avail. yr","Operating revenue (Turnover)
m EUR Last avail. yr","Operating revenue (Turnover)
m USD Last avail. yr","Operating revenue (Turnover)
m EUR Year - 1","Operating revenue (Turnover)
m EUR Year - 2","Number of employees
Last avail. yr","Number of employees
Year - 1","Number of employees
Year - 2","EBITDA
th EUR Last avail. yr","EBITDA
th EUR Year - 1","EBITDA
th EUR Year - 2","EBITDA
th USD Year - 2","Operating profit (loss) [EBIT]
th EUR Last avail. yr","Operating profit (loss) [EBIT]
th EUR Year - 1","Operating profit (loss) [EBIT]
th EUR Year - 2",Entity type,"Geographic segment - Sales
m EUR","Geographic segment - Sales
m USD","Export revenue
th EUR Last avail. yr","Export revenue
th USD Last avail. yr","Export revenue
th EUR Year - 1","Export revenue
th USD Year - 1","Export revenue
th EUR Year - 2","Export revenue
th USD Year - 2","Export revenue / Operating revenue
Last avail. yr","Export revenue / Operating revenue
Year - 1","Export revenue / Operating revenue
Year - 2"
171.,"SALUMIFICIO SANDRI DI SANDRI ROBERTO, ANTONIO & UMBERTO SRL",1011,2024,"58,545",33,56,59,52,57,33,33,35,"1,495",730,268,286,332,395,130,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
172.,A 1 BACON COMPANY LIMITED,1011,2025,"58,483",73,51,58,53,44,73,71,76,"2,352","3,235","3,420","3,755","1,952","2,767","2,905",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
173.,ZAKLAD DROBIARSKI LINODROB KWIATKOWSCY P.S.A.,1012,2024,"58,270",184,56,58,53,49,184,181,169,"3,428",653,"3,473","3,704","2,977",266,"3,175",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
174.,PAVISO ALIMENTACION S.L.,1012,2022,"58,243",406,55,58,40,29,406,304,258,"10,510","7,369","5,946","7,297","7,803","5,292","4,582",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
175.,SALGAIM ECOLOGIC S.P.A.,1011,2024,"58,238",70,56,58,62,78,70,70,66,"3,939","6,259","6,697","7,144","2,364","3,531","4,524",GUO,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
176.,PINNACLE FOODS LIMITED,1011,2024,"58,222",55,54,58,49,35,55,47,47,"4,336","3,565","3,190","3,314","3,982","3,193","2,816",Controlled subs.,n.a.,n.a.,108,116,32,35,25,26,0.20,0.07,0.07
177.,DELIBARN VEURNE,1011,2024,"57,720",100,56,58,52,50,100,103,107,"2,060","2,101","2,149","2,292",121,109,106,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
178.,"SAVINOR - SOCIEDADE AVICOLA DO NORTE, S.A.",1012,2024,"57,463",108,55,57,52,50,108,106,111,"4,074","4,154","4,100","4,373","3,218","3,319","3,237",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
179.,IRISH CASING CO. LIMITED,1012,2024,"57,353",171,55,57,60,63,171,183,171,"1,648","1,905","2,785","2,970","1,353","1,600","2,449",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
180.,"MESARSTVO OBLAK, PROIZVODNJA, TRGOVINA IN STORITVE, D.O.O.",1011,2024,"57,269",115,55,57,48,36,115,100,111,"2,729","2,830","2,666","2,844",890,910,"1,133",Controlled subs.,n.a.,n.a.,"16,134","16,761","9,926","10,968","5,888","6,280",29.27,20.88,16.35
181.,"GREEN-DIVIZIO TERMELO, KERESKEDELMI ES SZOLGALTATO KORLATOLT FELELOSSEGU TARSASAG",1012,2024,"57,163",95,55,57,85,60,95,104,90,835,"8,529","8,011","8,545",416,"8,094","7,723",Independent co,n.a.,n.a.,"27,381","28,446","40,873","45,164","29,556","31,525",49.76,48.19,49.60
182.,"CRIZAVES - CENTRO DE ABATE DE AVES, S.A.",1012,2024,"57,101",234,55,57,50,43,234,242,205,"4,700","4,786","4,365","4,656","3,436","3,835","3,548",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
183.,MALOCCO VITTORIO & FIGLI S.P.A.,1012,2024,"56,684",24,55,57,65,62,24,137,149,731,"3,135","3,089","3,295",-572,"1,931","1,664",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
184.,RAITAR SRL,1011,2024,"56,462",370,54,56,47,38,370,327,290,"5,071","4,752","3,845","4,101","4,407","4,201","3,357",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
185.,HONEY VALE FOODS LIMITED,1011,2022,"56,266",152,53,56,50,50,152,152,157,"2,652","2,355","3,101","3,806","2,130","1,777","2,477",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
186.,IMPILO SP. Z O.O.,1011,2024,"55,993",115,54,56,49,48,115,114,108,"9,106","7,417","5,664","6,042","8,881","7,272","5,568",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
187.,ARLYCO LIMITED,1011,2023,"55,986",155,51,56,47,37,155,148,n.a.,n.a.,n.a.,n.a.,n.a.,891,"1,096",877,Independent co,n.a.,n.a.,0,0,0,0,0,0,0.00,0.00,0.00
188.,BUGIN S.R.L.,1011,2024,"55,540",54,53,56,60,68,54,55,54,"1,071","1,441",988,"1,054",919,"1,318",418,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
189.,URGEL GANADERA SA,1011,2024,"55,521",41,53,56,57,55,41,41,39,"2,300","2,404",582,620,"1,737","1,934",287,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
190.,KLAASEN EN CO,1011,2024,"54,967",184,53,55,55,52,184,197,203,"11,936","8,231","4,464","4,761","10,389","6,528","2,920",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
191.,CORSA PETFOOD SL,1011,2024,"54,917",106,53,55,56,54,106,94,88,"13,001","13,614","11,344","12,099","11,655","12,562","10,357",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
192.,AP SOLANO SOBCZAK SP.K.,1012,2023,"54,875",47,50,55,36,33,47,44,31,"4,386","3,261","3,646","4,129","4,215","3,109","3,573",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
193.,ITALPORK S.R.L.,1011,2024,"54,822",53,53,55,54,49,53,55,54,"1,025",941,944,"1,007",791,690,654,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
194.,POULPOL SP. Z O.O.,1012,2024,"54,333",69,52,54,52,40,69,47,n.a.,-48,"3,036","1,509","1,609",-84,"3,006","1,499",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
195.,JANEX SLAWOMIR I ELZBIETA WIESIAK SP.K.,1011,2024,"54,236",174,52,54,47,36,174,158,150,"3,804","4,058","2,379","2,537","3,257","3,518","1,907",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
196.,YORK HOUSE (MEAT PRODUCTS) LIMITED,1011,2024,"54,113",158,52,54,49,40,158,162,141,"1,376",500,-305,-326,802,-37,-855,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
197.,TMI FOODS LIMITED,1011,2024,"53,922",203,52,54,58,57,203,219,198,"-6,906",-471,332,354,"-8,540","-2,001","-1,164",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
198.,BOYNE VALLEY MEATS UNLIMITED COMPANY,1011,2023,"53,818",49,49,54,47,35,49,45,38,"1,136","1,060","1,692","1,916","1,008",948,"1,592",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
199.,REALBEEF S.R.L.,1011,2024,"53,637",87,52,54,52,62,87,97,104,-947,62,331,353,"-2,632","-1,718",-484,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
200.,AVES SP. Z O.O.,1012,2024,"53,427",288,51,53,48,40,288,294,286,"2,226","3,153","1,574","1,679","1,087","2,113",806,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
201.,AVICOLA MORALEJA SA,1012,2024,"52,860",243,51,53,54,52,243,225,219,"2,358","3,619","2,761","2,945","1,438","2,795","2,026",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
202.,AMBROSINI CARNI S.R.L.,1011,2024,"52,812",31,51,53,45,44,31,24,24,"2,755","1,880","1,201","1,281","1,841","1,296","1,077",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
203.,"PETASON, D.O.O.",1011,2024,"52,704",101,51,53,48,42,101,96,95,"3,561","3,063","2,677","2,855","2,449","1,746","1,456",Independent co,n.a.,n.a.,0,0,0,0,0,0,0.00,0.00,0.00
204.,HORGANS DELICATESSEN SUPPLIES LIMITED,1011,2024,"51,984",66,50,52,45,39,66,60,61,"1,920","1,980","1,711","1,825","1,559","1,653","1,481",Independent co,n.a.,n.a.,"3,366","3,497","2,929","3,237","2,657","2,834",6.73,6.50,6.79
205.,NEW CENTURY FOODS LIMITED,1011,2024,"51,815",149,50,52,37,29,149,127,134,"2,345",876,624,666,"2,127",693,441,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
206.,COMPAGNIE ALIMENTAIRE PLEUCADEUCIENNE C A P,1011,2023,"51,756",172,48,52,48,40,172,n.a.,n.a.,"3,805","2,523","2,951","3,276","2,545","1,341","1,864",Controlled subs.,n.a.,n.a.,"10,080","10,897","10,276","11,175","8,548","9,489",21.06,21.51,21.20
207.,INDUSTRIAS CARNICAS LOS NORTENOS SA,1011,2024,"51,582",145,50,52,43,41,145,140,134,"1,928","1,285",887,946,"1,329",747,371,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
208.,VAN HESSEN NETHERLANDS OPERATIONS B.V.,1011,2024,"51,511",160,50,52,74,86,160,144,105,n.a.,n.a.,"2,609","2,783","-1,339","-2,241","2,199",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
209.,SAL.PI UNO S.R.L.,1011,2024,"51,183",33,49,51,52,47,33,34,35,"3,085","3,634","3,597","3,837","1,915","2,228","2,118",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
210.,MAARTENSSONS PARTIAFFAER AB,1011,2024,"51,039",50,49,51,13,0,50,14,n.a.,"1,765",993,n.a.,n.a.,"1,529",933,-1,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
211.,AVISCO S.R.L.,1012,2024,"50,654",74,49,51,50,47,74,71,72,"1,811","1,263",804,857,"1,272",719,252,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
212.,DADYCOM SRL,1011,2024,"50,641",71,49,51,48,54,71,117,97,334,"1,344","1,711","1,825",331,"1,340","1,707",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
213.,AVA STAR SRL,1011,2024,"50,619",249,49,51,35,34,249,245,244,"2,857","2,054","2,659","2,836","2,050","1,233","1,921",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
214.,GIORGIO'S CONTINENTAL LTD.,1011,2025,"50,499",120,44,50,44,47,120,120,119,"1,371","2,126","2,541","2,801",789,"1,566","2,013",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
215.,CONVIVIAL,1011,2024,"50,400",66,49,50,48,48,66,n.a.,n.a.,"1,000",171,"1,442","1,538",77,-748,522,Controlled subs.,n.a.,n.a.,71,74,108,119,128,136,0.15,0.22,0.27
216.,GRADUS 1,1012,2024,"50,328",469,48,50,45,51,469,481,485,n.a.,"2,248","3,248","3,465",n.a.,638,"1,751",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
217.,HUEVOS LEON SL,1012,2024,"50,094",42,48,50,49,44,42,44,46,"5,469","4,049","3,036","3,239","3,746","2,291","1,267",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
218.,HUNENT VIZISZARNYAS FELDOLGOZO ZARTKORUEN MUKODO RESZVENYTARSASAG,1012,2024,"50,019",467,48,50,57,49,467,n.a.,n.a.,"-3,744","7,667","8,167","8,710","-5,217","6,406","7,166",GUO,n.a.,n.a.,"32,758","34,032","40,832","45,120","31,661","33,769",68.04,71.26,64.86
219.,JUVICA S.R.L.,1011,2024,"50,011",24,48,50,47,47,24,24,27,"1,336","1,281",852,909,484,548,81,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
220.,PEMBROKESHIRE HOLDINGS LTD,1011,2024,"49,994",30,46,50,n.a.,n.a.,30,27,27,"1,467",n.a.,n.a.,n.a.,975,n.a.,n.a.,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
221.,PORKPROD SRL,1011,2024,"49,912",209,48,50,49,35,209,206,196,"2,183","2,042","1,495","1,595",848,866,835,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
222.,GEENA,1012,2024,"49,795",97,44,50,46,55,97,98,83,"4,052","8,126","3,828","3,732","2,033","6,254","1,808",GUO,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
223.,SOCIETE BRIECOISE D'ABATTAGE,1011,2024,"49,729",97,48,50,47,40,97,102,n.a.,"1,799","1,853","1,562","1,666",612,752,652,Controlled subs.,n.a.,n.a.,"8,677","9,014","7,685","8,492","6,308","6,728",18.13,16.37,15.85
224.,BLASON D'OR SAS,1012,2025,"49,722",168,42,50,44,44,168,168,171,-360,"1,389",841,914,"-1,308",482,-51,Controlled subs.,n.a.,n.a.,196,230,0,0,0,0,0.46,0.00,0.00
225.,"AVIGRIL, S.A.",1012,2024,"49,694",205,48,50,47,43,205,200,188,"4,999","5,424","3,087","3,292","3,821","4,523","2,369",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
226.,MESO KAMNIK MESNA INDUSTRIJA D.D.,1011,2024,"49,614",141,48,50,46,44,141,138,148,"1,260",-34,678,723,705,-558,142,Controlled subs.,n.a.,n.a.,"3,641","3,783","3,991","4,410","5,959","6,356",7.62,8.72,13.42
227.,G. POZZOLI 1875 S.R.L.,1011,2024,"49,512",76,48,50,49,51,76,82,88,"2,052","1,808","1,874","1,999",739,113,190,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
228.,O'GUSTE,1011,2024,"49,164",112,47,49,49,46,112,114,111,"1,215","1,930","2,169","2,314",495,"1,120","1,420",Controlled subs.,n.a.,n.a.,"19,411","20,166","18,161","20,068","15,341","16,363",41.02,37.13,33.34
229.,"FRESBEIRA - INDUSTRIA DE CARNES, LDA",1011,2024,"49,131",86,47,49,42,30,86,81,80,"2,210","1,928","1,734","1,850","1,510","1,269",912,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
230.,FARMA ELASSONAS SOCIETE ANONYME,1011,2024,"49,106",150,47,49,48,42,150,138,110,"3,699","2,759","2,151","2,294","2,230","1,674","1,475",GUO,n.a.,n.a.,"11,817","12,277","12,022","13,284","10,613","11,320",25.00,25.00,25.00
231.,TYKOCIN SP. Z O.O.,1011,2024,"49,062",41,47,49,40,35,41,12,11,"1,029",485,742,791,769,294,660,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
232.,TWIST SP. Z O.O.,1012,2024,"48,765",135,47,49,39,35,135,136,135,"1,510",815,726,775,954,372,411,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
233.,FRESHASIA FOODS LTD,1011,2024,"48,301",141,45,48,44,39,141,134,138,"1,327","2,250","2,403","2,613","1,048","2,068","2,207",Controlled subs.,n.a.,n.a.,"15,206","16,445","15,874","17,161","12,772","13,889",34.05,35.87,33.03
234.,TRANSEURO SRL,1011,2024,"47,887",383,46,48,47,40,383,463,331,"1,029",965,"1,216","1,297",569,357,493,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
235.,FABRICA DE CARNE MORANDI S.R.L.,1012,2024,"47,828",319,46,48,44,38,319,290,289,"6,300","5,196","4,269","4,553","4,807","4,013","3,165",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
236.,SANFELICE S.P.A.,1012,2024,"47,794",51,46,48,47,49,51,50,56,"2,620","2,132","1,629","1,737","1,927","1,443","1,008",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
237.,LE PORC GOURMET SA,1011,2024,"47,508",234,46,48,45,51,234,236,205,"5,410","4,407","5,641","6,017","1,804",970,"2,247",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
238.,HERMANOS MORAN SL,1011,2024,"47,465",198,46,47,65,82,198,175,44,"1,969","-3,054","-1,689","-1,801","1,038","-3,996","-2,250",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
239.,AGGELAKIS S.A.,1012,2024,"47,253",208,45,47,43,39,208,155,200,"3,351","1,534","2,195","2,341","2,646",910,"1,622",GUO,n.a.,n.a.,"1,365","1,418","1,290","1,425","1,163","1,240",3.00,3.00,3.00
240.,EUROAVI SRL,1012,2024,"47,128",326,45,47,47,45,326,0,303,"3,384",-696,"2,362","2,519","2,878","-1,158","1,755",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
241.,SANTO STEFANO S.P.A.,1011,2024,"46,964",57,45,47,42,40,57,57,60,"1,735","2,316","1,762","1,879","1,139","1,614",490,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
242.,MECSEK BAROMFI FELDOLGOZO ES KERESKEDELMI KORLATOLT FELELOSSEGU TARSASAG,1012,2024,"46,952",224,45,47,38,20,224,251,160,"4,554","2,697","2,723","2,905","2,790","1,337","1,698",Independent co,n.a.,n.a.,"1,648","1,712","1,628","1,799",901,961,3.65,4.31,4.41
243.,ZUB NEMATEKAS,1012,2024,"46,696",374,45,47,50,47,374,413,418,498,460,440,469,498,460,440,GUO,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
244.,C.E.M. - COOPERATIVA FRA ESERCENTI MACELLAI - SOCIETA' COOPERATIVA,1011,2024,"46,685",119,45,47,44,41,119,119,109,"1,817","1,708","1,490","1,590",687,584,338,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
245.,UBOJNIA DROBIU BRYCHCY SP.J.,1012,2024,"46,624",89,45,47,41,42,89,83,86,"4,614",880,"3,094","3,300","4,333",608,"2,853",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
246.,GORNI SP. Z O.O. SP.K.,1012,2024,"46,617",139,45,47,40,42,139,141,142,"3,049",735,"2,276","2,428","2,596",307,"1,910",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
247.,PRZEDSIEBIORSTWO PRODUKCYJNO-HANDLOWE INDYK- MAZURY SP. Z O.O. SP.K.,1012,2024,"46,097",79,44,46,44,53,79,80,81,585,"-2,672","6,982","7,446",585,"-2,672","6,982",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
248.,CHICKEN JOES LIMITED,1012,2024,"45,348",174,41,45,36,37,174,174,151,"2,211","2,030","1,272","1,272","1,795","1,438",853,GUO,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
249.,SADA PA CANARIAS SA,1012,2024,"44,834",189,43,45,41,37,189,173,185,"1,848","1,975",652,695,975,"1,354",83,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
250.,PRIVAT HUSFELDOLGOZO KORLATOLT FELELOSSEGU TARSASAG,1011,2024,"44,730",248,43,45,43,32,248,250,250,"2,624","3,987","3,495","3,728",949,"2,302","1,958",Independent co,n.a.,n.a.,852,885,"1,115","1,232",796,849,1.98,2.58,2.49
251.,BONA AVIS SRL,1012,2024,"44,695",437,43,45,44,40,437,423,370,"2,806","3,356","4,004","4,270","1,752","2,242","2,965",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
252.,ZAKLAD MIESNY KAMIENCZYK SP. Z O.O. SP.K.,1011,2024,"44,512",95,43,45,44,49,95,105,104,"1,555","2,873","3,344","3,567","1,330","2,586","2,976",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
253.,FLORIDIS MEAT S.A.,1011,2024,"44,487",100,43,44,35,13,100,100,0,"3,184","1,432",136,145,"2,334","1,107",80,Single location,n.a.,n.a.,0,0,0,0,0,0,0.00,0.00,0.00
254.,PODHALANSKIE CENTRUM DYSTRYBUCJI SALAMI SP. Z O.O.,1011,2024,"44,392",78,43,44,42,36,78,68,68,"1,791","1,147","1,105","1,179","1,529",913,887,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
255.,I.L.C.O. S.R.L. INDUSTRIA LAVORAZIONI CARNI OVINE,1011,2024,"44,240",60,43,44,38,39,60,62,70,"1,643","1,409","1,205","1,285","1,139",858,645,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
256.,CALLAN BACON COMPANY LIMITED,1011,2023,"44,086",183,41,44,51,40,183,201,239,-686,"1,538","-2,044","-2,269","-1,167","1,064","-2,585",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
257.,ZAKLADY MIESNE HAM CICHON I WSPOLNICY SP. Z O.O.,1011,2024,"43,875",401,42,44,37,46,401,n.a.,473,"-1,275","-1,252",-196,-209,"-1,882","-1,760",-937,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
258.,BALDI S.R.L.,1011,2024,"43,424",53,42,43,39,34,53,52,51,"1,629","1,646","1,438","1,534",563,687,602,GUO,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
259.,KIER SP. Z O.O.,1011,2024,"43,089",219,41,43,43,24,219,230,233,"2,997","2,652",809,862,"2,213","1,953",389,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
260.,POLSKAMP S.A.,1012,2024,"43,006",75,41,43,35,27,75,74,84,"4,114","3,417","1,933","2,061","3,390","2,761","1,429",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
261.,TOPESA KERESKEDELMI ES SZOLGALTATO KORLATOLT FELELOSSEGU TARSASAG,1011,2024,"42,938",80,41,43,41,22,80,73,65,806,418,240,256,463,82,121,Controlled subs.,n.a.,n.a.,"5,167","5,368","2,732","3,019",144,153,12.50,6.67,0.64
262.,AVICOLA GALOCHA SL,1011,2024,"42,929",156,41,43,38,32,156,146,139,"2,651","3,044","1,102","1,175","2,236","2,765",865,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
263.,CARNIQUES ILLAS JULI SL,1011,2024,"42,860",104,41,43,35,31,104,101,111,"1,819","1,791","1,064","1,135","1,008","1,058",706,Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
264.,"DAT-SCHAUB PORTUGAL - INDUSTRIA ALIMENTAR, LDA",1011,2024,"42,770",556,38,43,36,34,556,547,542,228,"2,754","3,167","3,087",-252,"2,251","2,645",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
265.,MEAT HOUSE MONOPROSOPI ANONYMI ETAIREIA EPEXERGASIAS KREATOS,1011,2024,"42,624",102,41,43,33,24,102,102,66,"1,731","1,361",649,692,"1,107",955,390,Single location,n.a.,n.a.,410,426,325,359,241,258,1.00,1.00,1.00
266.,CETINA SRL,1011,2024,"42,396",309,41,42,37,25,309,259,239,"3,270","2,782","1,674","1,785","2,636","2,302","1,263",GUO,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
267.,GAVAZZA 1913 S.R.L.,1011,2025,"42,332",152,36,42,36,35,152,180,164,"1,119","1,111",912,991,669,663,486,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
268.,AGAT MARCINIAK SP.J.,1011,2024,"42,251",59,41,42,44,41,59,56,68,663,591,581,619,313,216,232,Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
