,Company name Latin alphabet,"NACE Rev. 2, core code (4 digits)",Last avail. year,"Operating revenue (Turnover)
th USD Last avail. yr","Number of employees
Last avail. yr","Operating revenue (Turnover)
m EUR Last avail. yr","Operating revenue (Turnover)
m USD Last avail. yr","Operating revenue (Turnover)
m EUR Year - 1","Operating revenue (Turnover)
m EUR Year - 2","Number of employees
Last avail. yr","Number of employees
Year - 1","Number of employees
Year - 2","EBITDA
th EUR Last avail. yr","EBITDA
th EUR Year - 1","EBITDA
th EUR Year - 2","EBITDA
th USD Year - 2","Operating profit (loss) [EBIT]
th EUR Last avail. yr","Operating profit (loss) [EBIT]
th EUR Year - 1","Operating profit (loss) [EBIT]
th EUR Year - 2",Entity type,"Geographic segment - Sales
m EUR","Geographic segment - Sales
m USD","Export revenue
th EUR Last avail. yr","Export revenue
th USD Last avail. yr","Export revenue
th EUR Year - 1","Export revenue
th USD Year - 1","Export revenue
th EUR Year - 2","Export revenue
th USD Year - 2","Export revenue / Operating revenue
Last avail. yr","Export revenue / Operating revenue
Year - 1","Export revenue / Operating revenue
Year - 2"
29.,TARAVIS BAROMFI ES ELELMISZERIPARI KORLATOLT FELELOSSEGU TARSASAG,1012,2024,"111,675",447,107,112,123,101,447,432,385,"3,818","5,317","5,101","5,440","3,818","5,317","5,101",Controlled subs.,n.a.,n.a.,"1,841","1,912","3,047","3,367","2,631","2,806",1.71,2.48,2.60
30.,BOADAS 1880 SA,1011,2024,"111,162",184,107,111,83,73,184,173,148,"7,574","5,022","4,106","4,379","5,404","3,692","2,665",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
31.,IHP LIMITED,1012,2024,"109,740",250,105,110,90,86,250,233,209,"8,488","4,425","3,990","4,237","7,773","3,772","3,378",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
32.,MATADERO FRIGORIFICO DE FUENTES EL NAVAZO SL,1011,2024,"109,671",291,106,110,81,53,291,290,281,"11,308","8,366","7,796","8,315","8,384","7,212","6,638",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
33.,FERMADOR SRL,1012,2024,"109,360",568,105,109,108,103,568,561,557,"14,790","12,087","12,253","13,069","10,855","8,420","8,737",Independent co,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
34.,KERRY FOODS,1011,2025,"109,018",600,93,109,n.a.,n.a.,600,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,Branch location,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
35.,"FRIMANCHA INDUSTRIAS CARNICAS, SA",1011,2024,"107,818",155,104,108,106,115,155,78,82,"-18,605","-3,682","-5,102","-5,441","-19,194","-4,394","-5,866",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
36.,FIRMA KREGLEWSCY SP. Z O.O.,1011,2024,"106,710",80,103,107,91,97,80,81,101,"2,885","1,565","4,982","5,314","2,511","1,262","4,706",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
37.,"AVICASAL - SOCIEDADE AVICOLA, S.A.",1012,2024,"106,111",227,102,106,94,84,227,149,146,"8,955","6,943","6,104","6,510","7,851","5,971","5,217",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
38.,BELL POLSKA SP. Z O.O.,1011,2024,"105,476",272,102,105,88,68,272,254,246,"9,264","4,022","2,957","3,154","8,060","2,896","1,851",Controlled subs.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
